kolom,poule,land
A1,A,Zuid-Afrika
A2,A,Zuid-Korea
A3,A,Mexico
A4,A,Tsjechië
B1,B,Qatar
B2,B,Canada
B3,B,Zwitserland
B4,B,Bosnië en Herzegovina
C1,C,Marokko
C2,C,Brazilië
C3,C,Schotland
C4,C,Haïti
D1,D,Verenigde Staten
D2,D,Paraguay
D3,D,Australië
D4,D,Turkije
E1,E,Ivoorkust
E2,E,Ecuador
E3,E,Duitsland
E4,E,Curaçao
F1,F,Tunesië
F2,F,Japan
F3,F,Nederland
F4,F,Zweden
G1,G,Egypte
G2,G,Nieuw-Zeeland
G3,G,Iran
G4,G,België
H1,H,Uruguay
H2,H,Saoedi-Arabië
H3,H,Spanje
H4,H,Kaapverdië
I1,I,Senegal
I2,I,Noorwegen
I3,I,Frankrijk
I4,I,Irak
J1,J,Jordanië
J2,J,Algerije
J3,J,Oostenrijk
J4,J,Argentinië
K1,K,Portugal
K2,K,Colombia
K3,K,DR Congo
K4,K,Oezbekistan
L1,L,Ghana
L2,L,Kroatië
L3,L,Engeland
L4,L,Panama
