naam,wedstrijd,thuis,voorspeld_thuis,uit,voorspeld_uit,winnaar_na_penalties,bronbestand
ROBIN,1,Zuid-Afrika,1,Canada,1,Canada,Formulier B   zestiende finales  Robin.docx
ROBIN,2,Brazilië,2,Japan,1,,Formulier B   zestiende finales  Robin.docx
ROBIN,3,Duitsland,4,Paraguay,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,4,Nederland,3,Marokko,2,,Formulier B   zestiende finales  Robin.docx
ROBIN,5,Ivoorkust,1,Noorwegen,2,,Formulier B   zestiende finales  Robin.docx
ROBIN,6,Frankrijk,3,Zweden,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,7,Mexico,2,Ecuador,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,8,Engeland,2,Dem. Rep. Congo,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,9,België,1,Senegal,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,10,Verenigde Staten,2,Bosnië-Herzegovina,1,,Formulier B   zestiende finales  Robin.docx
ROBIN,11,Spanje,3,Oostenrijk,1,,Formulier B   zestiende finales  Robin.docx
ROBIN,12,Portugal,1,Kroatië,2,,Formulier B   zestiende finales  Robin.docx
ROBIN,13,Zwitserland,2,Algerije,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,14,Australië,1,Egypte,1,Egypte,Formulier B   zestiende finales  Robin.docx
ROBIN,15,Argentinië,5,Kaapverdië,0,,Formulier B   zestiende finales  Robin.docx
ROBIN,16,Colombia,2,Ghana,1,,Formulier B   zestiende finales  Robin.docx
Ruben,1,Zuid-Afrika,1,Canada,2,,Formulier B   zestiende finales (1).docx
Ruben,2,Brazilië,3,Japan,0,,Formulier B   zestiende finales (1).docx
Ruben,3,Duitsland,2,Paraguay,1,,Formulier B   zestiende finales (1).docx
Ruben,4,Nederland,1,Marokko,0,,Formulier B   zestiende finales (1).docx
Ruben,5,Ivoorkust,1,Noorwegen,3,,Formulier B   zestiende finales (1).docx
Ruben,6,Frankrijk,2,Zweden,1,,Formulier B   zestiende finales (1).docx
Ruben,7,Mexico,1,Ecuador,1,Mexico,Formulier B   zestiende finales (1).docx
Ruben,8,Engeland,2,Dem. Rep. Congo,0,,Formulier B   zestiende finales (1).docx
Ruben,9,België,2,Senegal,1,,Formulier B   zestiende finales (1).docx
Ruben,10,Verenigde Staten,1,Bosnië-Herzegovina,0,,Formulier B   zestiende finales (1).docx
Ruben,11,Spanje,2,Oostenrijk,0,,Formulier B   zestiende finales (1).docx
Ruben,12,Portugal,2,Kroatië,0,,Formulier B   zestiende finales (1).docx
Ruben,13,Zwitserland,1,Algerije,0,,Formulier B   zestiende finales (1).docx
Ruben,14,Australië,2,Egypte,2,Egypte,Formulier B   zestiende finales (1).docx
Ruben,15,Argentinië,2,Kaapverdië,1,,Formulier B   zestiende finales (1).docx
Ruben,16,Colombia,2,Ghana,1,,Formulier B   zestiende finales (1).docx
