poule,land,positie
A,Zuid-Afrika,2
A,Zuid-Korea,3
A,Mexico,1
A,Tsjechië,4
B,Qatar,
B,Canada,
B,Zwitserland,
B,Bosnië en Herzegovina,
C,Marokko,
C,Brazilië,
C,Schotland,
C,Haïti,
D,Verenigde Staten,
D,Paraguay,
D,Australië,
D,Turkije,
E,Ivoorkust,
E,Ecuador,
E,Duitsland,
E,Curaçao,
F,Tunesië,
F,Japan,
F,Nederland,
F,Zweden,
G,Egypte,
G,Nieuw-Zeeland,
G,Iran,
G,België,
H,Uruguay,
H,Saoedi-Arabië,
H,Spanje,
H,Kaapverdië,
I,Senegal,
I,Noorwegen,
I,Frankrijk,
I,Irak,
J,Jordanië,
J,Algerije,
J,Oostenrijk,
J,Argentinië,
K,Portugal,
K,Colombia,
K,DR Congo,
K,Oezbekistan,
L,Ghana,
L,Kroatië,
L,Engeland,
L,Panama,
